movieId,title,genres,imdbId,rating
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0114709,8.3
2,Jumanji (1995),Adventure|Children|Fantasy,0113497,6.9
3,Grumpier Old Men (1995),Comedy|Romance,0113228,6.6
4,Waiting to Exhale (1995),Comedy|Drama|Romance,0114885,5.7
5,Father of the Bride Part II (1995),Comedy,0113041,6.0
6,Heat (1995),Action|Crime|Thriller,0113277,8.2
7,Sabrina (1995),Comedy|Romance,0114319,6.3
8,Tom and Huck (1995),Adventure|Children,0112302,5.6
9,Sudden Death (1995),Action,0114576,5.7
10,GoldenEye (1995),Action|Adventure|Thriller,0113189,7.2
11,"American President, The (1995)",Comedy|Drama|Romance,0112346,6.8
12,Dracula: Dead and Loving It (1995),Comedy|Horror,0112896,5.8
13,Balto (1995),Adventure|Animation|Children,0112453,7.1
14,Nixon (1995),Drama,0113987,7.1
15,Cutthroat Island (1995),Action|Adventure|Romance,0112760,5.6
16,Casino (1995),Crime|Drama,0112641,8.2
17,Sense and Sensibility (1995),Drama|Romance,0114388,7.7
18,Four Rooms (1995),Comedy,0113101,6.8
19,Ace Ventura: When Nature Calls (1995),Comedy,0112281,6.3
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,0113845,5.6
21,Get Shorty (1995),Comedy|Crime|Thriller,0113161,6.9
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,0112722,6.6
23,Assassins (1995),Action|Crime|Thriller,0112401,6.3
24,Powder (1995),Drama|Sci-Fi,0114168,6.6
25,Leaving Las Vegas (1995),Drama|Romance,0113627,7.6
26,Othello (1995),Drama,0114057,6.9
27,Now and Then (1995),Children|Drama,0114011,6.8
28,Persuasion (1995),Drama|Romance,0114117,7.7
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,0112682,7.6
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,0115012,7.2
31,Dangerous Minds (1995),Drama,0112792,6.4
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,0114746,8.0
33,Wings of Courage (1995),Adventure|Romance|IMAX,0114952,6.5
34,Babe (1995),Children|Drama,0112431,6.8
35,Carrington (1995),Drama|Romance,0112637,6.9
36,Dead Man Walking (1995),Crime|Drama,0112818,7.5
37,Across the Sea of Time (1995),Documentary|IMAX,0112286,6.4
38,It Takes Two (1995),Children|Comedy,0113442,5.8
39,Clueless (1995),Comedy|Romance,0112697,6.8
40,"Cry, the Beloved Country (1995)",Drama,0112749,6.9
41,Richard III (1995),Drama|War,0114279,7.5
42,Dead Presidents (1995),Action|Crime|Drama,0112819,6.9
43,Restoration (1995),Drama,0114272,6.7
44,Mortal Kombat (1995),Action|Adventure|Fantasy,0113855,5.8
45,To Die For (1995),Comedy|Drama|Thriller,0114681,6.8
46,How to Make an American Quilt (1995),Drama|Romance,0113347,6.2
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,0114369,8.6
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,0114148,6.7
49,When Night Is Falling (1995),Drama|Romance,0114916,6.7
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,0114814,8.6
51,Guardian Angel (1994),Action|Drama|Thriller,0109950,4.9
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,0113819,7.1
53,Lamerica (1994),Adventure|Drama,0110299,7.6
54,"Big Green, The (1995)",Children|Comedy,0112499,5.5
55,Georgia (1995),Drama,0113158,6.5
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,0113541,4.9
57,Home for the Holidays (1995),Drama,0113321,6.6
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,0110877,7.7
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,0112714,7.5
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,0113419,5.9
61,Eye for an Eye (1996),Drama|Thriller,0116260,6.1
62,Mr. Holland's Opus (1995),Drama,0113862,7.3
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,0116126,6.6
64,Two if by Sea (1996),Comedy|Romance,0118002,5.2
65,Bio-Dome (1996),Comedy,0115683,4.4
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,0116839,2.4
67,Two Bits (1995),Drama,0114753,6.3
68,French Twist (Gazon maudit) (1995),Comedy|Romance,0113149,6.4
69,Friday (1995),Comedy,0113118,7.3
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,0116367,7.3
71,Fair Game (1995),Action,0113010,4.2
72,Kicking and Screaming (1995),Comedy|Drama,0113537,7.0
73,"Misérables, Les (1995)",Drama|War,0113828,7.5
74,Bed of Roses (1996),Drama|Romance,0115644,6.1
75,Big Bully (1996),Comedy|Drama,0115676,4.6
76,Screamers (1995),Action|Sci-Fi|Thriller,0114367,6.4
77,Nico Icon (1995),Documentary,0113973,7.3
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,0112744,6.3
79,"Juror, The (1996)",Drama|Thriller,0116731,5.6
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,0112445,7.8
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,0114660,6.8
82,Antonia's Line (Antonia) (1995),Comedy|Drama,0112379,7.5
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,0114039,7.2
84,Last Summer in the Hamptons (1995),Comedy|Drama,0113612,6.1
85,Angels and Insects (1995),Drama|Romance,0112365,7.0
86,White Squall (1996),Action|Adventure|Drama,0118158,6.6
87,Dunston Checks In (1996),Children|Comedy,0116151,5.3
88,Black Sheep (1996),Comedy,0115697,6.2
89,Nick of Time (1995),Action|Thriller,0113972,6.3
90,"Journey of August King, The (1995)",Drama,0113490,6.6
92,Mary Reilly (1996),Drama|Horror|Thriller,0117002,5.8
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,0114825,4.5
94,Beautiful Girls (1996),Comedy|Drama|Romance,0115639,7.2
95,Broken Arrow (1996),Action|Adventure|Thriller,0115759,6.0
96,In the Bleak Midwinter (1995),Comedy|Drama,0113403,7.3
97,"Hate (Haine, La) (1995)",Crime|Drama,0113247,8.1
98,Shopping (1994),Action|Thriller,0111173,5.4
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,0113283,6.6
100,City Hall (1996),Drama|Thriller,0115907,6.2
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,0115734,7.1
102,Mr. Wrong (1996),Comedy,0117102,3.8
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,0118040,6.0
104,Happy Gilmore (1996),Comedy,0116483,7.0
105,"Bridges of Madison County, The (1995)",Drama|Romance,0112579,7.6
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,0110251,7.3
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,0117110,6.9
108,Catwalk (1996),Documentary,0112646,6.2
109,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller,0113276,4.8
110,Braveheart (1995),Action|Drama|War,0112573,8.4
111,Taxi Driver (1976),Crime|Drama|Thriller,0075314,8.3
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,0113326,6.7
113,Before and After (1996),Drama|Mystery,0115645,6.1
114,Margaret's Museum (1995),Drama,0113774,7.3
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,0112556,7.0
116,Anne Frank Remembered (1995),Documentary,0112373,8.1
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,0115033,7.1
118,If Lucy Fell (1996),Comedy|Romance,0116606,4.8
119,"Steal Big, Steal Little (1995)",Comedy,0114536,4.8
120,Race the Sun (1996),Adventure|Comedy|Drama,0117427,5.4
121,"Boys of St. Vincent, The (1992)",Drama,0106473,7.7
122,Boomerang (1992),Comedy|Romance,0103859,5.4
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,0109424,8.1
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,0114808,7.4
125,Flirting With Disaster (1996),Comedy,0116324,6.8
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,0110647,3.1
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama,0111055,7.4
128,Jupiter's Wife (1994),Documentary,0110217,7.2
129,Pie in the Sky (1996),Comedy|Romance,0114131,5.8
130,Angela (1995),Drama,0112364,6.4
131,Frankie Starlight (1995),Drama|Romance,0113107,6.7
132,Jade (1995),Thriller,0113451,5.2
133,Nueba Yol (1995),Comedy|Drama,0114015,7.1
134,Sonic Outlaws (1995),Documentary,0114500,7.3
135,Down Periscope (1996),Comedy,0116130,6.0
136,From the Journals of Jean Seberg (1995),Documentary,0113125,7.1
137,Man of the Year (1995),Documentary,0113756,6.0
138,"Neon Bible, The (1995)",Drama,0113952,6.2
139,Target (1995),Action|Drama,0114618,7.8
140,Up Close and Personal (1996),Drama|Romance,0118055,6.1
141,"Birdcage, The (1996)",Comedy,0115685,7.0
142,Shadows (Cienie) (1988),Drama,0094878,6.4
143,Gospa (1995),Drama,0113200,5.0
144,"Brothers McMullen, The (1995)",Comedy,0112585,6.6
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,0112442,6.8
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,0112342,5.8
147,"Basketball Diaries, The (1995)",Drama,0112461,7.3
148,"Awfully Big Adventure, An (1995)",Drama,0112427,6.0
149,Amateur (1994),Crime|Drama|Thriller,0109093,7.0
150,Apollo 13 (1995),Adventure|Drama|IMAX,0112384,7.6
151,Rob Roy (1995),Action|Drama|Romance|War,0114287,6.9
152,"Addiction, The (1995)",Drama|Horror,0112288,6.4
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,0112462,5.4
154,Beauty of the Day (Belle de jour) (1967),Drama,0061395,7.8
155,Beyond Rangoon (1995),Adventure|Drama|War,0112495,6.6
156,Blue in the Face (1995),Comedy|Drama,0112541,6.7
157,Canadian Bacon (1995),Comedy|War,0109370,5.9
158,Casper (1995),Adventure|Children,0112642,6.1
159,Clockers (1995),Crime|Drama|Mystery,0112688,6.9
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,0112715,5.1
161,Crimson Tide (1995),Drama|Thriller|War,0112740,7.3
162,Crumb (1994),Documentary,0109508,8.0
163,Desperado (1995),Action|Romance|Western,0112851,7.2
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,0112857,6.7
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,0112864,7.6
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,0112887,6.0
167,Feast of July (1995),Drama,0113044,6.3
168,First Knight (1995),Action|Drama|Romance,0113071,5.9
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,0113114,4.9
170,Hackers (1995),Action|Adventure|Crime|Thriller,0113243,6.2
171,Jeffrey (1995),Comedy|Drama,0113464,6.7
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,0113481,5.6
173,Judge Dredd (1995),Action|Crime|Sci-Fi,0113492,5.5
